field,tier,annual_grads,wage_25_29_lakh,employment_pct,wage_basis
Engineering,IIT,16000,14.55,77.0,NIRF (national count)
Engineering,NIT,22000,6.97,73.7,NIRF (national count)
Engineering,IIIT,8000,13.42,64.4,NIRF (national count)
Engineering,Top Engineering Colleges,204000,5.64,68.3,NIRF Other-Top-200 (to 2.5 lakh)
Engineering,Other Engineering Colleges,594955,3.2,61.7,PLFS residual (back-out)
Medical,Govt MBBS/BDS,60000,7.0,100.0,Govt JR scale · NMC count (assumed)
Medical,Private MBBS/BDS,78000,7.0,95.0,Doctor wage · DCI/NMC count (assumed)
Medical,Other Medical,232852,1.58,50.4,PLFS residual (back-out)
Law,Top NIRF Law,4025,8.04,52.0,NIRF (reported count)
Law,Other Law,138541,2.17,27.3,PLFS residual (back-out)
Other Technical,Top NIRF Pharmacy,6672,3.25,39.5,NIRF (reported count)
Other Technical,Other (Other Technical),121207,2.99,41.1,PLFS residual (back-out)
IT & Computer,All IT & Computer,387149,2.34,27.3,PLFS general-degree (no NIRF)
Science,All Science,1362413,2.34,27.3,PLFS general-degree (no NIRF)
Commerce,All Commerce,1414717,2.34,27.3,PLFS general-degree (no NIRF)
Management,All Management,303531,2.34,27.3,PLFS general-degree (no NIRF)
Other,All Other,4369359,2.34,27.3,PLFS general-degree (no NIRF)
